nombre,codigo
Ábacos,60102401
Abalorios,31191513
Abanicos,52141804
Abastecedores de servicio de aplicación,81112106
Abciximab,51131701
Abejas,10101903
Aberturas o ranuras ópticas,31242103
Abono fosfórico,10171602
Abono nitrogenado,10171605
Abono potásico,10171601
Abono sulfúrico,10171603
Abrasímetros,41114601
"Abrazadera de oído, de espiga",31162901
Abrazadera de slickline en los centralizadores de la cadena de la herramienta,20122309
Abrazadera de slickline en los centralizadores del cable de acero,20122310
Abrazadera para viga doble t,31162905
Abrazaderas,27112103
Abrazaderas con mango en t,27112133
Abrazaderas de diálisis,41123102
Abrazaderas de extracción,41104817
Abrazaderas de fijación,27112132
Abrazaderas de gran apertura de garra,27112131
Abrazaderas de incisión de autopsia,42261510
Abrazaderas de la línea sanguínea de la unidad de hemodiálisis,42161618
Abrazaderas de laboratorio,41122413
Abrazaderas de mango redondo,27112129
Abrazaderas de manguera o tubo,31162906
Abrazaderas de montaje,31162305
Abrazaderas de pantalón para personas discapacitadas,42211809
Abrazaderas de resorte,31162902
Abrazaderas de tornillo ,31162903
Abrazaderas de tres garras,27112130
Abrazaderas o fórceps quirúrgicos de láser,42291803
Abrazaderas para el equipo de limpieza,47131614
"Abrazaderas, anillos o virolas",27121703
Abre puertas para personas discapacitadas,42212001
Abrebocas quirúrgicos o accesorios,42293104
Abrecartas manual ,44121617
Abrecartas mecánica,44121623
Abrecontenedores para personas discapacitadas,42212303
Abrehoyos,20121510
Abrelatas eléctricas de uso comercial,48101602
Abrelatas eléctricos domésticos,52141513
Abrelatas para personas discapacitadas,42211903
Abrepuertas giratorio especial para personas discapacitadas,42212003
Abretubos de slickline,20122345
Abridores de bidones,24101901
Abridores de cajas de relojes de pulsera o de pared o pie,54111707
Abridores de latas o botellas domésticos,52151605
Abrigos y chaquetas para bebé,53101805
Abrigos y chaquetas para hombre,53101802
Abrigos y chaquetas para mujer,53101804
Abrigos y chaquetas para niña,53101803
Abrigos y chaquetas para niño,53101801
"Abrillantador, protector de llantas",47131838
Absorbedores para limpiar la herida,42312301
Absorbent granular,47131902
Absorbentes de empaquetado,24141512
Absorbentes de radiaciones nucleares,26142402
Acabadores de terminales de tubos,23171707
Acabados de carpintería o estantería,72101903
Acabados para superficies a base de emulsión asfáltica,31211709
Academias de servicio,86131801
Acarbosa,51181501
Accesorios,49211905
Accesorios de ablandamiento de agua,47101519
Accesorios de almacenaje para máquinas de oficina,44102902
Accesorios de batik,60121910
Accesorios de bolos,49211703
Accesorios de borrador,60121146
Accesorios de cabbing,23131701
Accesorios de cabeza de pozo o flujo de la sub superficie de cabeza de pozo,20141006
Accesorios de cabeza de pozo o flujo de la superficie de cabeza de pozo,20141007
Accesorios de cable,26121630
Accesorios de cajero automático,48111405
Accesorios de cañón perforador de la tubería pasante,20122113
Accesorios de copiado o escaneado,44101719
Accesorios de cromatografía de gases,41115717
Accesorios de cromatografía de líquidos,41115716
Accesorios de cuero,60123502
Accesorios de documentación de gel,41105315
Accesorios de electrocardiografía (ECG),42181716
Accesorios de encordado o acordonado,60122009
Accesorios de escultura,60124503
Accesorios de escúteres de paciente,42192205
Accesorios de esmaltado,60122703
Accesorios de espejos de exámen para otorrinolaringología,42183301
Accesorios de estampación de caucho,60121703
Accesorios de etiquetado de traducción,41105804
Accesorios de grabado de bloques,60121707
Accesorios de herramientas de arrastre de slickline,20122338
Accesorios de horno para cocer cerámica,60124305
Accesorios de incubadoras,41104424
Accesorios de incubadoras clínicas o sistemas de calentamiento pediátrico,42191814
Accesorios de instrumental de medición de la tensión arterial,42181608
Accesorios de instrumentos de meteorología,41114411
Accesorios de instrumentos de pesaje,41111516
Accesorios de instrumentos dentales de afilar,42151626
Accesorios de juegos,60141111
Accesorios de lavador o enjugador,47121902
Accesorios de limpiador por chorro de vapor o limpiador a presión,47121903
Accesorios de macramé,60123703
Accesorios de máquina postal,44102108
Accesorios de material de estudio,60121604
Accesorios de mesas de exámen o de procesamiento para uso general menos sabanas de cubrir,42192002
Accesorios de monitores o medidores,41116203
Accesorios de mosaico,60122604
Accesorios de otoscopia u oftalmoscopia,42182014
Accesorios de paseador o rodador,42211505
Accesorios de presión positiva intermitente en la vía aérea de dos niveles (BI PAP),42272225
Accesorios de prueba,20122004
Accesorios de pulido de suelos,47121613
Accesorios de rosarios o cuentas de oración,60122908
Accesorios de serigrafiado,60121716
Accesorios de sillas de ruedas,42192208
Accesorios de soporte de televisión,45111809
Accesorios de tallar o esculpir,23131601
Accesorios de tejido,60122002
Accesorios de torre de refrigeración,40101707
Accesorios de transferencia o creación de borrones,41105310
Accesorios de traqueotomía,42271915
Accesorios de vástago de cilindro neumático,27131702
Accesorios de velas artesanales,60122103
Accesorios de veteado,60123802
Accesorios de vía aérea artificial,42271909
Accesorios del equipo de teñido de portaobjetos de laboratorio,41105204
Accesorios del panel de control o distribución,39121108
Accesorios del ventilador,42272220
Accesorios eléctricos,39121311
Accesorios o bandejas epidurales,42142509
Accesorios o complementos de mezcladores o agitadores,41103816
Accesorios o componentes resucitadores,42272304
Accesorios o defibriladores implantables o generadores de marcapasos cardíacos,42203501
Accesorios o dispositivos de moción pasiva continua (MPC),42251603
Accesorios o eléctrodos o indicaciones de marcapasos cardíacos,42203502
Accesorios o lámparas de curación de la odontología cosmética,42151501
Accesorios o piezas de repuesto para instrumentos dentales,42151601
Accesorios o suministros de analizadores de aminoácidos,41115802
Accesorios o suministros de analizadores de banco de sangre,41115804
Accesorios o suministros de analizadores de coagulación,41115810
Accesorios o suministros de analizadores de gases sanguíneos,41115806
Accesorios o suministros de analizadores de ionograma urinario,41115828
Accesorios o suministros de analizadores de proteínas,41115824
Accesorios o suministros de analizadores de secuencia de adn,41115812
Accesorios o suministros de analizadores hematológicos,41115816
Accesorios o suministros de analizadores histológicos,41115818
Accesorios o suministros de analizadores inmunológicos,41115820
Accesorios o suministros de analizadores microbiológicos,41115822
Accesorios o suministros de analizadores químicos,41115808
Accesorios o suministros de elevador de horquilla o transportador vertical,24101629
Accesorios o suministros de limpiador de succión,47121607
Accesorios o suministros para baños de laboratorio,41103715
Accesorios o tubos o masilla bandas de ejercicio resistivo para rehabilitación o terapia,42251608
Accesorios oftalmológicos para retinoscopia,42183028
Accesorios para baño,30181517
Accesorios para baños o tanques de hidroterapia,42142203
Accesorios para carpetas de argollas,44122022
Accesorios para carros de limpieza,47121502
Accesorios para centrifugadoras de laboratorio,41103913
Accesorios para destornillador y suministros,27112830
Accesorios para el drenaje médico de incisión,42311901
Accesorios para el equipo de acondicionamiento de entornos,41103414
Accesorios para el equipo de refrigeración de laboratorio,41103025
Accesorios para estufas de laboratorio,41104512
Accesorios para hornos de laboratorio,41104612
Accesorios para instrumentos de cuerdas,60131506
Accesorios para instrumentos de percusión,60131507
Accesorios para jeringas,42142615
Accesorios para llaves de copas,27112832
Accesorios para llaves y suministros,27112831
Accesorios para micrófono,52161606
Accesorios para pesebre y/o arbolito,60124606
"Accesorios para plantas, generadores",26111610
Accesorios para productos de administración de oxigenoterapia o sus suministros,42271718
Accesorios para recintos cerrados de laboratorio,41103511
Accesorios para reproductor portátil ,52161605
Accesorios para secadoras por congelación o liofilizadoras,41104704
Accesorios para sistemas de electroforesis,41105305
Accesorios para sondas o sensores de oxímetros de impulsos,42181804
Accesorios para unidades de oxímetros de impulsos,42181805
Accesorios para urinarios o aseos,47131705
Accesorios y suministros de analizadores radioisotópicos,41115826
Accesorios y suministros de analizadores toxicológicos,41115814
Accionadores lineales,31251511
Acebutolol,51151813
Aceite de engranajes,15121503
Aceite de frenos,15121509
Aceite de fusor,44103002
Aceite de inmersión para microscopio,41122605
Aceite de motor,15121501
Aceite de ricino,51171617
Aceite de turbina,15121527
Aceite etérico,51212001
Aceite etiodado,51212302
Aceite hidráulico,15121504
Aceite mineral,51171630
Aceite para cortar metales,15121502
Aceite para transformadores,15121505
Aceite para transmisiones,15121508
Aceitera,27112905
Aceites agrícolas,12162003
Aceites atemperantes,15121525
Aceites comestibles de animal,50151604
"Aceites de apagado, extinción",15121528
Aceites de plantas y vegetales comestibles,50151513
Aceites de templado,15121524
Aceites desoxidantes,15121806
Aceites lubricantes de relojería,15121519
Aceites lubricantes para armas,15121522
Aceites lubricantes para bombas,15121521
Aceites naturales,12181602
Aceites sintéticos,12181601
Aceitunas,50171903
Aceleradores de cemento,12162302
Aceleradores de corredera alámbrica,20122357
Aceleradores lineales de radioterapia tele terapia,42202702
Aceleradores médicos lineales móviles o portátiles,42203001
Acelerómetros,41113639
"Acelgas, frescos o congelados",50101546
Acemetacina,51142151
Aceponato de metilprednisolona,51181758
Acero,11101704
Acero E24 - 2 ó A37 – 2,11171501
Acero en barra labrada,31231116
Acero en placas labrado,31231216
"Acero estampado en relieve, acero realzado",30101919
Acero inoxidable en barra labrada,31231110
Acero inoxidable en placas labrado,31231210
Acero perforado,30101918
Acero rápido z90wdcv.6.5.4.2 o m2,11171701
Acero rápido z90wdkcv6.5.5.4.2 o m35,11171702
Acetaminofen,51142001
Acetanilida,51142010
Acetato cálcico,51182418
Acetato de aluminio,51241301
Acetato de caspofungina,51101835
